Date,PM2.5 AQI Value,Main Pollutant,Site Name,Site ID,Source
07/16/2012,69,,FIA/Lafayette,26-163-0039,AQS
07/17/2012,56,,Allen Park,26-163-0001,AQS
07/18/2012,59,,FIA/Lafayette,26-163-0039,AQS
07/19/2012,57,,Allen Park,26-163-0001,AQS
07/20/2012,41,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
07/21/2012,56,,FIA/Lafayette,26-163-0039,AQS
07/22/2012,61,,FIA/Lafayette,26-163-0039,AQS
07/23/2012,62,,Southwestern H.S.,26-163-0015,AQS
07/24/2012,48,,Allen Park,26-163-0001,AQS
07/25/2012,39,,Allen Park,26-163-0001,AQS
07/26/2012,47,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
07/27/2012,56,,FIA/Lafayette,26-163-0039,AQS
07/28/2012,30,,Allen Park,26-163-0001,AQS
07/29/2012,51,,Southwestern H.S.,26-163-0015,AQS
07/30/2012,152,,FIA/Lafayette,26-163-0039,AQS
07/31/2012,40,,FIA/Lafayette,26-163-0039,AQS
08/01/2012,55,,Southwestern H.S.,26-163-0015,AQS
08/02/2012,64,,FIA/Lafayette,26-163-0039,AQS
08/03/2012,64,,Allen Park,26-163-0001,AQS
08/04/2012,64,,Port Huron,26-147-0005,AQS
08/05/2012,23,,FIA/Lafayette,26-163-0039,AQS
08/06/2012,29,,Allen Park,26-163-0001,AQS
