Date,PMAQI Value,Main Pollutant,Site Name,Site ID,Source
9/21/13,22,,Allen Park,26-163-0001,AQS
9/22/13,14,,Allen Park,26-163-0001,AQS
9/23/13,32,,Allen Park,26-163-0001,AQS
9/24/13,52,,Allen Park,26-163-0001,AQS
9/25/13,48,,Allen Park,26-163-0001,AQS
9/26/13,48,,Allen Park,26-163-0001,AQS
9/27/13,48,,Allen Park,26-163-0001,AQS
9/28/13,51,,SCHOOLCRAFT COLLEGE,26-163-0025,AQS
9/29/13,54,,FIA/Lafayette,26-163-0039,AQS
9/30/13,31,,Allen Park,26-163-0001,AQS
10/1/13,58,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
10/2/13,47,,Allen Park,26-163-0001,AQS
10/3/13,58,,FIA/Lafayette,26-163-0039,AQS
10/4/13,56,,Southwestern H.S.,26-163-0015,AQS
10/5/13,40,,FIA/Lafayette,26-163-0039,AQS
10/6/13,19,,FIA/Lafayette,26-163-0039,AQS
10/7/13,35,,Southwestern H.S.,26-163-0015,AQS
10/8/13,39,,FIA/Lafayette,26-163-0039,AQS
10/9/13,47,,Allen Park,26-163-0001,AQS
10/10/13,58,,Southwestern H.S.,26-163-0015,AQS
10/11/13,60,,Allen Park,26-163-0001,AQS
10/12/13,68,,Allen Park,26-163-0001,AQS
10/13/13,48,,Allen Park,26-163-0001,AQS
10/14/13,31,,Allen Park,26-163-0001,AQS
10/15/13,59,,Allen Park,26-163-0001,AQS
10/16/13,46,,FIA/Lafayette,26-163-0039,AQS
10/17/13,39,,FIA/Lafayette,26-163-0039,AQS
10/18/13,43,,FIA/Lafayette,26-163-0039,AQS
10/19/13,47,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
10/20/13,35,,FIA/Lafayette,26-163-0039,AQS
10/21/13,36,,Allen Park,26-163-0001,AQS
10/22/13,23,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
10/23/13,32,,Allen Park,26-163-0001,AQS
10/24/13,28,,Allen Park,26-163-0001,AQS
10/25/13,30,,Southwestern H.S.,26-163-0015,AQS
10/26/13,39,,Allen Park,26-163-0001,AQS
10/27/13,30,,Allen Park,26-163-0001,AQS
10/28/13,40,,Allen Park,26-163-0001,AQS
10/29/13,33,,Allen Park,26-163-0001,AQS
10/30/13,73,,FIA/Lafayette,26-163-0039,AQS
10/31/13,68,,Southwestern H.S.,26-163-0015,AQS
11/1/13,37,,Allen Park,26-163-0001,AQS
11/2/13,25,,Allen Park,26-163-0001,AQS
11/3/13,43,,New Haven,26-099-0009,AQS
11/4/13,26,,Allen Park,26-163-0001,AQS
11/5/13,56,,Allen Park,26-163-0001,AQS
11/6/13,47,,Southwestern H.S.,26-163-0015,AQS
11/7/13,29,,Allen Park,26-163-0001,AQS
11/8/13,40,,Allen Park,26-163-0001,AQS
11/9/13,40,,FIA/Lafayette,26-163-0039,AQS
11/10/13,31,,Allen Park,26-163-0001,AQS
11/11/13,38,,FIA/Lafayette,26-163-0039,AQS
11/12/13,20,,Allen Park,26-163-0001,AQS
11/13/13,51,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
11/14/13,50,,FIA/Lafayette,26-163-0039,AQS
11/15/13,57,,FIA/Lafayette,26-163-0039,AQS
11/16/13,57,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
11/17/13,15,,FIA/Lafayette,26-163-0039,AQS
11/18/13,25,,Allen Park,26-163-0001,AQS
11/19/13,28,,Allen Park,26-163-0001,AQS
11/20/13,27,,FIA/Lafayette,26-163-0039,AQS
11/21/13,54,,Southwestern H.S.,26-163-0015,AQS
11/22/13,52,,FIA/Lafayette,26-163-0039,AQS
11/23/13,23,,FIA/Lafayette,26-163-0039,AQS
11/24/13,27,,Allen Park,26-163-0001,AQS
11/25/13,53,,FIA/Lafayette,26-163-0039,AQS
11/26/13,63,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
11/27/13,21,,Allen Park,26-163-0001,AQS
11/28/13,35,,Allen Park,26-163-0001,AQS
11/29/13,72,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
11/30/13,79,,Southwestern H.S.,26-163-0015,AQS
