Date,PM2.5AQI Value,Main Pollutant,Site Name,Site ID,Source
1/7/01,124,,92 FEET FROM WHE STREET,26-163-0036,AQS
1/8/01,42,,Allen Park,26-163-0001,AQS
1/9/01,54,,Allen Park,26-163-0001,AQS
1/10/01,151,,92 FEET FROM WHE STREET,26-163-0036,AQS
1/11/01,108,,,26-163-0016,AQS
1/12/01,127,,,26-163-0016,AQS
1/13/01,130,,East 7 Mile,26-163-0019,AQS
1/14/01,85,,,26-163-0016,AQS
1/15/01,71,,,26-163-0016,AQS
1/16/01,73,,92 FEET FROM WHE STREET,26-163-0036,AQS
1/17/01,62,,,26-163-0016,AQS
1/18/01,85,,Allen Park,26-163-0001,AQS
1/19/01,91,,East 7 Mile,26-163-0019,AQS
1/20/01,35,,Allen Park,26-163-0001,AQS
1/21/01,78,,,26-163-0016,AQS
1/22/01,103,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
1/23/01,114,,Allen Park,26-163-0001,AQS
1/24/01,89,,Allen Park,26-163-0001,AQS
1/25/01,52,,Allen Park,26-163-0001,AQS
1/26/01,81,,,26-163-0016,AQS
1/27/01,53,,Allen Park,26-163-0001,AQS
1/28/01,103,,92 FEET FROM WHE STREET,26-163-0036,AQS
1/29/01,83,,Allen Park,26-163-0001,AQS
1/30/01,63,,Allen Park,26-163-0001,AQS
1/31/01,74,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
2/1/01,63,,Allen Park,26-163-0001,AQS
2/2/01,62,,,26-163-0016,AQS
2/3/01,71,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
2/4/01,65,,Allen Park,26-163-0001,AQS
2/5/01,85,,Allen Park,26-163-0001,AQS
2/6/01,86,,Allen Park,26-163-0001,AQS
2/7/01,75,,,26-163-0016,AQS
2/8/01,77,,Allen Park,26-163-0001,AQS
2/9/01,91,,Southwestern H.S.,26-163-0015,AQS
2/10/01,13,,,26-163-0016,AQS
2/11/01,23,,Allen Park,26-163-0001,AQS
2/12/01,68,,Southwestern H.S.,26-163-0015,AQS
2/13/01,91,,Allen Park,26-163-0001,AQS
2/14/01,87,,Allen Park,26-163-0001,AQS
2/15/01,63,,Southwestern H.S.,26-163-0015,AQS
2/16/01,75,,,26-163-0016,AQS
2/17/01,25,,,26-163-0016,AQS
2/18/01,66,,Oak Park,26-125-0001,AQS
2/19/01,58,,,26-163-0016,AQS
2/20/01,75,,Allen Park,26-163-0001,AQS
2/21/01,33,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
2/22/01,54,,,26-163-0016,AQS
2/23/01,62,,Allen Park,26-163-0001,AQS
2/24/01,75,,East 7 Mile,26-163-0019,AQS
2/25/01,46,,Allen Park,26-163-0001,AQS
2/26/01,35,,,26-163-0016,AQS
2/27/01,55,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
2/28/01,33,,Allen Park,26-163-0001,AQS
3/1/01,66,,Allen Park,26-163-0001,AQS
3/2/01,96,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
3/3/01,92,,Allen Park,26-163-0001,AQS
3/4/01,72,,,26-163-0016,AQS
3/5/01,51,,Allen Park,26-163-0001,AQS
3/6/01,20,,92 FEET FROM WHE STREET,26-163-0036,AQS
3/7/01,28,,,26-163-0016,AQS
3/8/01,74,,Allen Park,26-163-0001,AQS
3/9/01,39,,Allen Park,26-163-0001,AQS
3/10/01,64,,Allen Park,26-163-0001,AQS
3/11/01,91,,Allen Park,26-163-0001,AQS
3/12/01,56,,Allen Park,26-163-0001,AQS
3/13/01,70,,,26-163-0016,AQS
3/14/01,65,,92 FEET FROM WHE STREET,26-163-0036,AQS
3/15/01,72,,Allen Park,26-163-0001,AQS
3/16/01,56,,Allen Park,26-163-0001,AQS
3/17/01,54,,Allen Park,26-163-0001,AQS
3/18/01,53,,Allen Park,26-163-0001,AQS
3/19/01,58,,,26-163-0016,AQS
3/20/01,64,,Southwestern H.S.,26-163-0015,AQS
3/21/01,90,,Allen Park,26-163-0001,AQS
3/22/01,77,,Allen Park,26-163-0001,AQS
3/23/01,83,,92 FEET FROM WHE STREET,26-163-0036,AQS
3/24/01,32,,Allen Park,26-163-0001,AQS
3/25/01,33,,Allen Park,26-163-0001,AQS
3/26/01,49,,Allen Park,26-163-0001,AQS
3/27/01,97,,Allen Park,26-163-0001,AQS
3/28/01,92,,Allen Park,26-163-0001,AQS
3/29/01,95,,SCHOOLCRAFT COLLEGE,26-163-0025,AQS
3/30/01,126,,Allen Park,26-163-0001,AQS
3/31/01,133,,Allen Park,26-163-0001,AQS
4/1/01,71,,Allen Park,26-163-0001,AQS
4/2/01,57,,Allen Park,26-163-0001,AQS
4/3/01,79,,Allen Park,26-163-0001,AQS
4/4/01,75,,Southwestern H.S.,26-163-0015,AQS
4/6/01,93,,Allen Park,26-163-0001,AQS
4/7/01,109,,Allen Park,26-163-0001,AQS
4/8/01,82,,,26-163-0016,AQS
4/10/01,70,,Allen Park,26-163-0001,AQS
4/11/01,84,,Allen Park,26-163-0001,AQS
4/12/01,74,,,26-163-0016,AQS
4/13/01,46,,,26-163-0016,AQS
4/14/01,17,,,26-163-0016,AQS
4/15/01,54,,Allen Park,26-163-0001,AQS
4/16/01,64,,Allen Park,26-163-0001,AQS
4/17/01,40,,Allen Park,26-163-0001,AQS
4/18/01,25,,Allen Park,26-163-0001,AQS
4/19/01,53,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
4/20/01,73,,Allen Park,26-163-0001,AQS
4/21/01,80,,Allen Park,26-163-0001,AQS
4/22/01,69,,Oak Park,26-125-0001,AQS
4/23/01,65,,,26-163-0016,AQS
4/24/01,23,,Allen Park,26-163-0001,AQS
4/25/01,46,,Oak Park,26-125-0001,AQS
4/26/01,52,,,26-163-0016,AQS
4/27/01,34,,,26-163-0016,AQS
4/28/01,54,,Allen Park,26-163-0001,AQS
4/29/01,41,,,26-163-0016,AQS
4/30/01,69,,Allen Park,26-163-0001,AQS
5/1/01,92,,338 FEET NORTH TO I-696 FREEWAY,26-125-0010,AQS
5/2/01,75,,,26-163-0016,AQS
5/3/01,89,,Allen Park,26-163-0001,AQS
5/4/01,80,,Southwestern H.S.,26-163-0015,AQS
5/5/01,32,,Allen Park,26-163-0001,AQS
5/6/01,22,,Allen Park,26-163-0001,AQS
5/7/01,88,,Allen Park,26-163-0001,AQS
5/8/01,33,,,26-163-0016,AQS
5/9/01,74,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
5/10/01,95,,Southwestern H.S.,26-163-0015,AQS
5/11/01,58,,,26-163-0016,AQS
