Date,PM2.5 AQI Value,Main Pollutant,Site Name,Site ID,Source
08/14/2021,39,,Military Park (GHIB),26-163-0100,AQS
08/15/2021,36,,ELIZA-NR,26-163-0093,AQS
08/16/2021,38,,ELIZA-NR,26-163-0093,AQS
08/17/2021,57,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
08/18/2021,60,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
08/19/2021,72,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
08/20/2021,68,,East 7 Mile,26-163-0019,AQS
08/21/2021,68,,ELIZA-NR,26-163-0093,AQS
08/22/2021,59,,Allen Park,26-163-0001,AQS
08/23/2021,51,,New Haven,26-099-0009,AQS
08/24/2021,59,,Southwestern H.S.,26-163-0015,AQS
08/25/2021,51,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
08/26/2021,52,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
08/27/2021,48,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
08/28/2021,57,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
08/29/2021,56,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
08/30/2021,49,,DP4th - Detroit Police 4th Precinct (GHIB),26-163-0098,AQS
08/31/2021,47,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
09/01/2021,30,,Allen Park,26-163-0001,AQS
09/02/2021,35,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
09/03/2021,33,,Military Park (GHIB),26-163-0100,AQS
09/04/2021,36,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
09/05/2021,31,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
09/06/2021,38,,Military Park (GHIB),26-163-0100,AQS
09/07/2021,63,,Southwestern H.S.,26-163-0015,AQS
09/08/2021,35,,Southwestern H.S.,26-163-0015,AQS
09/09/2021,27,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
09/10/2021,38,,Southwestern H.S.,26-163-0015,AQS
09/11/2021,58,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
09/12/2021,60,,Allen Park,26-163-0001,AQS
09/13/2021,39,,Allen Park,26-163-0001,AQS
09/14/2021,60,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
09/15/2021,30,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
09/16/2021,36,,ELIZA-NR,26-163-0093,AQS
09/17/2021,60,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
09/18/2021,37,,ELIZA-NR,26-163-0093,AQS
09/19/2021,31,,ELIZA-NR,26-163-0093,AQS
09/20/2021,64,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
09/21/2021,37,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
09/22/2021,10,,ELIZA-NR,26-163-0093,AQS
09/23/2021,19,,ELIZA-NR,26-163-0093,AQS
09/24/2021,35,,ELIZA-NR,26-163-0093,AQS
