Date,Carbon Monoxide AQI Value,Main Pollutant,Site Name,Site ID,Source
1/4/20,5,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
1/5/20,6,,ELIZA-NR,26-163-0093,AQS
1/6/20,7,,ELIZA-NR,26-163-0093,AQS
1/7/20,7,,ELIZA-NR,26-163-0093,AQS
1/8/20,6,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
1/9/20,7,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
1/10/20,10,,ELIZA-NR,26-163-0093,AQS
1/11/20,9,,ELIZA-NR,26-163-0093,AQS
1/12/20,6,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
1/13/20,7,,ELIZA-NR,26-163-0093,AQS
1/14/20,7,,ELIZA-NR,26-163-0093,AQS
1/15/20,10,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
1/16/20,8,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
1/17/20,6,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
1/18/20,5,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
1/19/20,5,,Allen Park,26-163-0001,AQS
1/20/20,6,,West corner,26-163-1006,AQS
1/21/20,6,,Allen Park,26-163-0001,AQS
1/22/20,8,,ELIZA-NR,26-163-0093,AQS
1/23/20,10,,ELIZA-NR,26-163-0093,AQS
1/24/20,13,,(Northeast corner),26-163-1008,AQS
1/25/20,7,,ELIZA-NR,26-163-0093,AQS
1/26/20,7,,ELIZA-NR,26-163-0093,AQS
1/27/20,6,,DP4th - Detroit Police 4th Precinct (GHIB),26-163-0098,AQS
1/28/20,6,,DP4th - Detroit Police 4th Precinct (GHIB),26-163-0098,AQS
1/29/20,6,,Allen Park,26-163-0001,AQS
1/30/20,7,,ELIZA-NR,26-163-0093,AQS
1/31/20,8,,ELIZA-NR,26-163-0093,AQS
2/1/20,8,,ELIZA-NR,26-163-0093,AQS
2/2/20,6,,Allen Park,26-163-0001,AQS
2/3/20,9,,ELIZA-NR,26-163-0093,AQS
2/4/20,6,,Allen Park,26-163-0001,AQS
2/5/20,5,,Allen Park,26-163-0001,AQS
2/6/20,5,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
2/7/20,7,,NORTHWEST,26-163-1005,AQS
2/8/20,6,,ELIZA-NR,26-163-0093,AQS
2/9/20,6,,ELIZA-NR,26-163-0093,AQS
2/10/20,7,,ELIZA-NR,26-163-0093,AQS
2/11/20,6,,ELIZA-NR,26-163-0093,AQS
2/12/20,7,,ELIZA-NR,26-163-0093,AQS
2/13/20,6,,ELIZA-NR,26-163-0093,AQS
2/14/20,6,,ELIZA-NR,26-163-0093,AQS
2/15/20,6,,ELIZA-NR,26-163-0093,AQS
2/16/20,6,,West corner,26-163-1006,AQS
2/17/20,7,,MARK TWAIN MIDDLE SCHOOL,26-163-1009,AQS
2/18/20,7,,ELIZA-NR,26-163-0093,AQS
2/19/20,5,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
2/20/20,6,,MARK TWAIN MIDDLE SCHOOL,26-163-1009,AQS
2/21/20,8,,ELIZA-NR,26-163-0093,AQS
2/22/20,7,,ELIZA-NR,26-163-0093,AQS
2/23/20,7,,ELIZA-NR,26-163-0093,AQS
2/24/20,9,,ELIZA-NR,26-163-0093,AQS
2/25/20,6,,West corner,26-163-1006,AQS
2/26/20,7,,West corner,26-163-1006,AQS
2/27/20,5,,Allen Park,26-163-0001,AQS
2/28/20,6,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
2/29/20,6,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
3/1/20,7,,ELIZA-NR,26-163-0093,AQS
3/2/20,8,,ELIZA-NR,26-163-0093,AQS
3/3/20,15,,TRINITY ST MARKS - Gordy Howe International Bridge (GHIB),26-163-0099,AQS
